id,name,binary,judgment
1,乾卦 乾為天,111111,乾，元、亨、利、貞。
2,坤卦 坤為地,000000,坤，元、亨，利牝馬之貞。君子有攸往，先迷，後得主，利。西南得朋，東北喪朋。安貞，吉。
3,屯卦 水雷屯,010001,屯，元、亨、利、貞，勿用有攸往，利建侯。
4,蒙卦 山水蒙,100010,蒙，亨。匪我求童蒙，童蒙求我。初筮告，再三瀆，瀆則不告。利貞。
5,需卦 水天需,010111,需，有孚，光亨，貞吉，利涉大川。
6,訟卦 天水訟,111010,訟，有孚窒，惕，中吉；終凶。利見大人，不利涉大川。
7,師卦 地水師,000010,師，貞，丈人吉，無咎。
8,比卦 水地比,010000,比，吉。原筮，元永貞，無咎。不寧方來，後夫凶。
9,小畜卦 風天小畜,110111,小畜，亨；密雲不雨，自我西郊。
10,履卦 天澤履,111011,履，履虎尾，不咥人，亨。
11,泰卦 地天泰,000111,泰，小往大來，吉，亨。
12,否卦 天地否,111000,否，否之匪人，不利君子貞，大往小來。
13,同人卦 天火同人,111101,同人，同人于野，亨，利涉大川，利君子貞。
14,大有卦 火天大有,101111,大有，元亨。
15,謙卦 地山謙,000100,謙，亨，君子有終。
16,豫卦 雷地豫,001000,豫，利建侯行師。
17,隨卦 澤雷隨,011001,隨，元、亨、利、貞，無咎。
18,蠱卦 山風蠱,100110,蠱，元亨，利涉大川；先甲三日，後甲三日。
19,臨卦 地澤臨,000011,臨，元、亨、利、貞。至于八月有凶。
20,觀卦 風地觀,110000,觀，盥而不薦，有孚顒若。
21,噬嗑卦 火雷噬嗑,101001,噬嗑，亨，利用獄。
22,賁卦 山火賁,100101,賁，亨，小利有攸往。
23,剝卦 山地剝,100000,剝，不利有攸往。
24,復卦 地雷復,000001,復，亨。出入無疾，朋來無咎。反復其道，七日來復。利有攸往。
25,無妄卦 天雷無妄,111001,無妄，元、亨、利、貞，其匪正有眚，不利有攸往。
26,大畜卦 山天大畜,100111,大畜，利貞。不家食吉，利涉大川。
27,頤卦 山雷頤,100001,頤，貞吉。觀頤，自求口實。
28,大過卦 澤風大過,011110,大過，棟橈，利有攸往，亨。
29,坎卦 坎為水,010010,習坎，有孚，維心亨，行有尚。
30,離卦 離為火,101101,離，利貞，亨。畜牝牛吉。
31,咸卦 澤山咸,011100,咸，亨，利貞，取女吉。
32,恆卦 雷風恆,001110,恆，亨，無咎，利貞，利有攸往。
33,遯卦 天山遯,111100,遯，亨，小利貞。
34,大壯卦 雷天大壯,001111,大壯，利貞。
35,晉卦 火地晉,101000,晉，康侯用錫馬蕃庶，晝日三接。
36,明夷卦 地火明夷,000101,明夷，利艱貞。
37,家人卦 風火家人,110101,家人，利女貞。
38,睽卦 火澤睽,101011,睽，小事吉。
39,蹇卦 水山蹇,010100,蹇，利西南，不利東北，利見大人，貞吉。
40,解卦 雷水解,001010,解，利西南；無所往，其來復吉；有攸往，夙吉。
41,損卦 山澤損,100011,損，有孚，元吉，無咎，可貞，利有攸往。曷之用？二簋可用享。
42,益卦 風雷益,110001,益，利有攸往，利涉大川。
43,夬卦 澤天夬,011111,夬，揚于王庭，孚號有厲，告自邑，不利即戎。利有攸往。
44,姤卦 天風姤,111110,姤，女壯，勿用取女。
45,萃卦 澤地萃,011000,萃，亨。王假有廟，利見大人，亨，利貞。用大牲吉，利有攸往。
46,升卦 地風升,000110,升，元亨，用見大人，勿恤，南征吉。
47,困卦 澤水困,011010,困，亨，貞，大人吉，無咎。有言不信。
48,井卦 水風井,010110,井，改邑不改井，無喪無得，往來井井。汔至亦未繘井，羸其瓶，凶。
49,革卦 澤火革,011101,革，巳日乃孚，元、亨、利、貞，悔亡。
50,鼎卦 火風鼎,101110,鼎，元吉，亨。
51,震卦 震為雷,001001,震，亨。震來虩虩，笑言啞啞，震驚百里，不喪匕鬯。
52,艮卦 艮為山,100100,艮，艮其背，不獲其身；行其庭，不見其人，無咎。
53,漸卦 風山漸,110100,漸，女歸吉，利貞。
54,歸妹 雷澤歸妹,001011,歸妹，征凶，無攸利。
55,豐卦 雷火豐,001101,豐，亨，王假之，勿憂，宜日中。
56,旅卦 火山旅,101100,旅，小亨，旅貞吉。
57,巽卦 巽為風,110110,巽，小亨，利有攸往，利見大人。
58,兌卦 兌為澤,011011,兌，亨，利貞。
59,渙卦 風水渙,110010,渙，亨，王假有廟，利涉大川，利貞。
60,節卦 水澤節,010011,節，亨，苦節不可貞。
61,中孚卦 風澤中孚,110011,中孚，豚魚吉，利涉大川，利貞。
62,小過 雷山小過,001100,小過，亨，利貞。可小事，不可大事；飛鳥遺之音，不宜上，宜下，大吉。
63,既濟卦 水火既濟,010101,既濟，亨小，利貞，初吉終亂。
64,未濟卦 火水未濟,101010,未濟，亨，小狐汔濟，濡其尾，無攸利。